label,new_label

96.0-p__Spirochaetota,Spirochaetota

100.0-p__UBA8481-_c__UBA8481-_o__UBA8481,UBA8481

100.0-p__Lindowbacteria-_c__2-12-FULL-62-27-_o__2-12-FULL-62-27-_f__2-12-FULL-62-27,Lindowbacteria

100.0-p__T1Sed10-126-_c__T1Sed10-126-_o__T1Sed10-126-_f__T1Sed10-126,T1Sed10-126

100.0-p__Wallbacteria-_c__UBA9980-_o__UBA9980-_f__UBA9980-_g__UBA9980,Wallbacteria

100.0-p__Riflebacteria-_c__Ozemobacteria-_o__Ozemobacterales-_f__Ozemobacteraceae,Riflebacteria

100.0-p__UBP17-_c__UBA6191,UBP17

100.0-p__Mcinerneyibacteriota-_c__Mcinerneyibacteria-_o__Mcinerneyibacteriales,Mcinerneyibacteriota

100.0-p__Fusobacteriota-_c__Fusobacteriia,Fusobacteriota

100.0-p__Calescibacterota-_c__Calescibacteriia-_o__Calescibacteriales-_f__Calescibacteriaceae,Calescibacterota

100.0-p__UBP7-_c__UBA6624-_o__UBA6624-_f__UBA6624,UBP7

100.0-p__Dependentiae-_c__Babeliae-_o__Babeliales,Dependentiae

86.0-p__Campylobacterota,Campylobacterota

100.0-p__Synergistota,Synergistota

100.0-p__Bipolaricaulota-_c__Bipolaricaulia,Bipolaricaulota

100.0-p__Thermotogota-_c__Thermotogae,Thermotogota

100.0-p__DUMJ01-_c__DUMJ01-_o__DUMJ01-_f__DUMJ01-_g__DUMJ01,DUMJ01

100.0-p__Dictyoglomota-_c__Dictyoglomia-_o__Dictyoglomales-_f__Dictyoglomaceae,Dictyoglomota

100.0-p__JACIXR01-_c__JACIXR01-_o__JACIXR01-_f__JACIXR01-_g__JACIXR01,JACIXR01

100.0-p__Caldisericota-_c__Caldisericia,Caldisericota

100.0-p__Thermodesulfobiota-_c__Thermodesulfobiia-_o__Thermodesulfobiales-_f__Thermodesulfobiaceae-_g__Thermodesulfobium,Thermodesulfobiota

100.0-p__HKB111-_c__HKB111-_o__HKB111-_f__HKB111-_g__HKB111,HKB111

100.0-p__Coprothermobacterota-_c__Coprothermobacteria-_o__Coprothermobacterales,Coprothermobacterota

99.0-p__Patescibacteria,Patescibacteria

100.0-p__4484-113-_c__4484-113-_o__4484-113,4484-113

100.0-p__UBP15-_c__UBA6099-_o__UBA6099,UBP15

100.0-p__Cyanobacteria,Cyanobacteria

100.0-p__Margulisbacteria,Margulisbacteria

100.0-p__Firmicutes_G,Firmicutes_G

94.0-p__Firmicutes_H-_c__UBA994,Firmicutes_H

45.0-p__Firmicutes,Firmicutes

100.0-p__Firmicutes_F-_c__Halanaerobiia,Firmicutes_F

83.0-p__Firmicutes_A,Firmicutes_A

67.0-p__Firmicutes_D,Firmicutes_D

100.0-p__DTU030-_c__DTU030,DTU030

92.0-p__Firmicutes_B,Firmicutes_B

15.0-p__Firmicutes_C,Firmicutes_C

74.0-p__Firmicutes_E,Firmicutes_E

100.0-p__Dormibacterota-_c__Dormibacteria,Dormibacterota

99.0-p__Chloroflexota,Chloroflexota

60.0-p__Armatimonadota,Armatimonadota

94.0-p__Eremiobacterota,Eremiobacterota

100.0-p__Deinococcota-_c__Deinococci,Deinococcota

100.0-p__Actinobacteriota,Actinobacteriota

94.0-p__Atribacterota,Atribacterota

100.0-p__Aerophobota-_c__Aerophobia-_o__Aerophobales,Aerophobota

100.0-p__CG03,CG03

75.0-p__Elusimicrobiota,Elusimicrobiota

100.0-p__UBA6262-_c__UBA6262,UBA6262

70.0-p__FCPU426,FCPU426

100.0-p__Firestonebacteria-_c__D2-FULL-39-29-_o__D2-FULL-39-29,Firestonebacteria

100.0-p__Goldbacteria-_c__PGYV01-_o__PGYV01,Goldbacteria

100.0-p__UBA9089,UBA9089

100.0-p__UBP18-_c__UBA7526-_o__UBA7526-_f__UBA7526,UBP18

100.0-p__Desantisbacteria-_c__UBA1551-_o__UBA1551,Desantisbacteria

100.0-p__JACRDZ01-_c__JACRDZ01-_o__JACRDZ01-_f__JACRDZ01,JACRDZ01

100.0-p__PUNC01-_c__PUNC01-_o__PUNC01,PUNC01

100.0-p__JABMQX01-_c__JABMQX01-_o__JABMQX01,JABMQX01

100.0-p__Aureabacteria-_c__SURF-26-_o__SURF-26-_f__SURF-26,Aureabacteria

100.0-p__JACPWU01-_c__JACPWU01-_o__JACPWU01-_f__JACPWU01,JACPWU01

100.0-p__JAFGBW01-_c__JAFGBW01,JAFGBW01

100.0-p__Verrucomicrobiota,Verrucomicrobiota

100.0-p__UBA3054-_c__UBA3054-_o__UBA3054,UBA3054

100.0-p__Chlamydiota-_c__Chlamydiia,Chlamydiota

100.0-p__Ratteibacteria-_c__UBA8468,Ratteibacteria

100.0-p__NPL-UPA2-_c__NPL-UPA2-_o__NPL-UPA2,NPL-UPA2

100.0-p__CAIJMQ01-_c__CAIJMQ01,CAIJMQ01

96.0-p__Omnitrophota,Omnitrophota

100.0-p__Poribacteria,Poribacteria

100.0-p__Abyssubacteria-_c__SURF-5-_o__SURF-5-_f__SURF-5,Abyssubacteria

100.0-p__Hydrogenedentota-_c__Hydrogenedentia-_o__Hydrogenedentiales,Hydrogenedentota

100.0-p__OLB16-_c__OLB16,OLB16

100.0-p__Sumerlaeota-_c__Sumerlaeia,Sumerlaeota

100.0-p__RBG-13-66-14,RBG-13-66-14

100.0-p__Planctomycetota,Planctomycetota

100.0-p__Fibrobacterota,Fibrobacterota

100.0-p__Cloacimonadota-_c__Cloacimonadia,Cloacimonadota

90.0-p__AABM5-125-24,AABM5-125-24

82.0-p__Delongbacteria-_c__UBA4055,Delongbacteria

100.0-p__Calditrichota-_c__Calditrichia,Calditrichota

100.0-p__SM23-31-_c__SM23-31,SM23-31

100.0-p__KSB1-_c__UBA2214,KSB1

100.0-p__JdFR-76-_c__JdFR-76-_o__JdFR-76,JdFR-76

100.0-p__QNDG01-_c__QNDG01-_o__QNDG01,QNDG01

100.0-p__Marinisomatota,Marinisomatota

76.0-p__CLD3-_c__CLD3,CLD3

100.0-p__Bacteroidota,Bacteroidota

100.0-p__UBP14-_c__UBA6098,UBP14

98.0-p__WOR-3,WOR-3

98.0-p__Latescibacterota,Latescibacterota

100.0-p__JAAXHH01-_c__JAAXHH01-_o__JAAXHH01,JAAXHH01

99.0-p__TA06-_c__DG-26,TA06

100.0-p__Edwardsbacteria-_c__AC1-_o__AC1,Edwardsbacteria

100.0-p__Zixibacteria-_c__MSB-5A5,Zixibacteria

100.0-p__4572-55-_c__4572-55,4572-55

100.0-p__Gemmatimonadota,Gemmatimonadota

99.0-p__Fermentibacterota,Fermentibacterota

100.0-p__Krumholzibacteriota-_c__Krumholzibacteria,Krumholzibacteriota

98.0-p__Eisenbacteria-_c__RBG-16-71-46,Eisenbacteria

100.0-p__VGIX01-_c__VGIX01-_o__VGIX01-_f__VGIX01,VGIX01

100.0-p__JABDJQ01-_c__JABDJQ01-_o__JABDJQ01-_f__JABDJQ01,JABDJQ01

100.0-p__Acidobacteriota,Acidobacteriota

100.0-p__Chrysiogenota-_c__Chrysiogenetes-_o__Chrysiogenales-_f__Chrysiogenaceae,Chrysiogenota

100.0-p__Deferribacterota-_c__Deferribacteres-_o__Deferribacterales,Deferribacterota

100.0-p__Thermosulfidibacterota-_c__Thermosulfidibacteria-_o__Thermosulfidibacterales,Thermosulfidibacterota

100.0-p__Aquificota,Aquificota

100.0-p__Methylomirabilota-_c__Methylomirabilia,Methylomirabilota

100.0-p__Moduliflexota-_c__Moduliflexia-_o__Moduliflexales,Moduliflexota

100.0-p__SZUA-182-_c__SZUA-182,SZUA-182

100.0-p__Schekmanbacteria-_c__GWA2-38-11-_o__GWA2-38-11,Schekmanbacteria

100.0-p__Nitrospinota_B-_c__2-12-FULL-45-22-_o__2-12-FULL-45-22,Nitrospinota_B

100.0-p__Tectomicrobia-_c__Entotheonellia,Tectomicrobia

81.0-p__UBA8248-_c__UBA8248,UBA8248

59.0-p__Nitrospinota,Nitrospinota

64.0-p__Nitrospirota,Nitrospirota

100.0-p__CG2-30-53-67-_c__CG2-30-53-67-_o__CG2-30-53-67-_f__CG2-30-53-67,CG2-30-53-67

100.0-p__B130-G9-_c__B130-G9-_o__B130-G9-_f__B130-G9,B130-G9

99.0-p__CSSED10-310,CSSED10-310

6.0-p__Desulfobacterota,Desulfobacterota

100.0-p__UBA10199-_c__UBA10199,UBA10199

84.0-p__Bdellovibrionota_E-_c__O2-12-FULL-43-9,Bdellovibrionota_E

100.0-p__Desulfobacterota_G-_c__Syntrophorhabdia-_o__Syntrophorhabdales,Desulfobacterota_G

100.0-p__SZUA-79-_c__SZUA-79-_o__Acidulodesulfobacterales-_f__SZUA-79,SZUA-79

100.0-p__Desulfobacterota_D-_c__UBA1144,Desulfobacterota_D

10.0-p__Desulfobacterota_C,Desulfobacterota_C

100.0-p__Desulfobacterota_E-_c__MBNT15,Desulfobacterota_E

100.0-p__BMS3Abin14-_c__BMS3Abin14-_o__BMS3Abin14,BMS3Abin14

100.0-p__Desulfobacterota_B-_c__Binatia,Desulfobacterota_B

100.0-p__JACPQY01-_c__JACPQY01-_o__JACPQY01-_f__JACPQY01,JACPQY01

38.0-p__Myxococcota,Myxococcota

100.0-p__RBG-13-61-14-_c__RBG-13-61-14-_o__RBG-13-61-14,RBG-13-61-14

100.0-p__Desulfobacterota_I-_c__Desulfovibrionia-_o__Desulfovibrionales,Desulfobacterota_I

100.0-p__UBA2233-_c__UBA2233-_o__UBA2233-_f__UBA2233-_g__UBA2233,UBA2233

100.0-p__Nitrospirota_A-_c__Leptospirillia-_o__Leptospirillales-_f__Leptospirillaceae,Nitrospirota_A

92.0-p__Proteobacteria,Proteobacteria

100.0-p__UBP6-_c__UBA1177,UBP6

100.0-p__Bdellovibrionota_C-_c__UBA2361,Bdellovibrionota_C

100.0-p__SAR324-_c__SAR324,SAR324

4.0-p__Bdellovibrionota,Bdellovibrionota

24.0-p__Myxococcota_A,Myxococcota_A

