"locus"	"Half-life"	"RPKM"
BCE_1001	4.0	31
BCE_1002	3.4	63
BCE_1003	5.2	52
BCE_1004	5.0	53
BCE_1005	NA	NA
BCE_1006	NA	NA
BCE_1007	NA	5
BCE_1008	NA	NA
BCE_1009	NA	NA
BCE_1010	NA	NA
BCE_1011	NA	NA
BCE_1012	NA	NA
BCE_1013	3.0	23
BCE_1014	NA	18
BCE_1015	NA	NA
BCE_1016	1.5	10
BCE_1017	NA	21
BCE_1018	1.7	74
BCE_1019	2.4	119
BCE_1020	2.8	152
BCE_1021	2.6	143
BCE_1022	2.4	58
BCE_1023	NA	323
BCE_1024	NA	NA
BCE_1025	NA	NA
BCE_1026	NA	NA
BCE_1027	NA	NA
BCE_1028	NA	NA
BCE_1029	2.1	24
BCE_1030	NA	5
BCE_1031	NA	NA
BCE_1032	NA	NA
BCE_1033	NA	NA
BCE_1034	NA	NA
BCE_1035	NA	8
BCE_1036	2.7	30
BCE_1037	3.3	30
BCE_1038	NA	NA
BCE_1039	NA	NA
BCE_1040	NA	NA
BCE_1041	NA	NA
BCE_1042	NA	NA
BCE_1043	NA	53
BCE_1044	2.4	18
BCE_1045	NA	10
BCE_1046	NA	NA
BCE_1047	NA	12
BCE_1048	NA	NA
BCE_1049	NA	NA
BCE_1050	NA	8
BCE_1051	NA	NA
BCE_1052	1.1	12
BCE_1053	NA	6
BCE_1054	3.8	14
BCE_1055	NA	NA
BCE_1056	NA	NA
BCE_1057	NA	NA
BCE_1058	NA	NA
BCE_1059	NA	9
BCE_1060	1.3	5
BCE_1061	NA	NA
BCE_1062	NA	NA
BCE_1063	NA	56
BCE_1064	NA	NA
BCE_1065	NA	NA
BCE_1066	2.5	93
BCE_1067	4.3	8
BCE_1068	3.6	10
BCE_1069	3.3	14
BCE_1070	NA	8
BCE_1071	1.4	57
BCE_1072	1.3	477
BCE_1073	NA	NA
BCE_1074	NA	NA
BCE_1075	1.6	166
BCE_1076	1.1	18
BCE_1077	1.3	57
BCE_1078	NA	NA
BCE_1079	NA	NA
BCE_1080	NA	NA
BCE_1081	NA	NA
BCE_1082	NA	NA
BCE_1083	NA	NA
BCE_1084	NA	NA
BCE_1085	NA	11
BCE_1086	5.7	13
BCE_1087	2.1	22
BCE_1088	1.6	12
BCE_1089	0.8	24
BCE_1090	0.8	14
BCE_1091	NA	NA
BCE_1092	NA	NA
BCE_1093	NA	NA
BCE_1094	NA	NA
BCE_1095	2.5	86
BCE_1096	NA	6
BCE_1097	2.0	34
BCE_1098	NA	NA
BCE_1099	2.0	25
BCE_1100	NA	54
BCE_1101	4.2	40
BCE_1102	2.1	20
BCE_1103	NA	7
BCE_1104	NA	NA
BCE_1105	1.6	11
BCE_1106	1.5	80
BCE_1107	1.4	52
BCE_1108	4.3	25
BCE_1109	0.7	24
BCE_1110	1.9	23
BCE_1111	2.2	86
BCE_1112	1.4	18
BCE_1113	NA	NA
BCE_1114	NA	NA
BCE_1115	NA	NA
BCE_1116	NA	NA
BCE_1117	1.6	54
BCE_1118	NA	NA
BCE_1119	NA	8
BCE_1120	NA	NA
BCE_1121	NA	NA
BCE_1122	NA	NA
BCE_1123	2.8	84
BCE_1124	2.5	798
BCE_1125	2.7	1074
BCE_1126	2.3	373
BCE_1127	NA	NA
BCE_1128	NA	NA
BCE_1129	NA	13
BCE_1130	NA	NA
BCE_1131	NA	NA
BCE_1132	NA	12
BCE_1133	1.0	9
BCE_1134	NA	NA
BCE_1135	5.1	20
BCE_1136	NA	13
BCE_1137	1.7	114
BCE_1138	2.4	21
BCE_1139	2.3	26
BCE_1140	2.1	21
BCE_1141	NA	12
BCE_1142	3.2	380
BCE_1143	3.9	221
BCE_1144	3.6	75
BCE_1145	2.8	398
BCE_1146	NA	NA
BCE_1147	2.0	1158
BCE_1148	NA	12
BCE_1149	3.9	85
BCE_1150	4.7	134
BCE_1151	NA	64
BCE_1152	1.0	48
BCE_1153	1.5	45
BCE_1154	1.7	54
BCE_1155	NA	NA
BCE_1156	NA	21
BCE_1157	NA	9
BCE_1158	1.9	33
BCE_1159	1.5	23
BCE_1160	NA	6
BCE_1161	NA	NA
BCE_1162	NA	NA
BCE_1163	2.2	11
BCE_1164	1.4	18
BCE_1165	NA	43
BCE_1166	NA	NA
BCE_1167	1.5	204
BCE_1168	1.6	259
BCE_1169	2.1	176
BCE_1170	2.2	11
BCE_1171	NA	11
BCE_1172	NA	NA
BCE_1173	NA	NA
BCE_1174	NA	NA
BCE_1175	NA	NA
BCE_1176	1.6	11
BCE_1177	1.8	77
BCE_1178	NA	NA
BCE_1179	NA	NA
BCE_1180	NA	NA
BCE_1181	NA	NA
BCE_1182	NA	NA
BCE_1183	NA	NA
BCE_1184	NA	NA
BCE_1185	NA	NA
BCE_1186	3.2	172
BCE_1187	NA	6
BCE_1188	2.0	97
BCE_1189	2.3	138
BCE_1190	NA	9
BCE_1191	NA	NA
BCE_1192	NA	NA
BCE_1193	NA	NA
BCE_1194	NA	NA
BCE_1195	NA	NA
BCE_1196	NA	NA
BCE_1197	NA	NA
BCE_1198	NA	NA
BCE_1199	NA	NA
BCE_1200	NA	18
BCE_1201	5.0	317
BCE_1202	3.2	216
BCE_1203	3.9	194
BCE_1204	4.7	46
BCE_1205	2.3	41
BCE_1206	3.8	9
BCE_1207	NA	NA
BCE_1208	NA	NA
BCE_1209	1.4	346
BCE_1210	1.4	11
BCE_1211	NA	NA
BCE_1212	3.1	21
BCE_1213	5.5	15
BCE_1214	2.7	5
BCE_1215	NA	NA
BCE_1216	3.0	17
BCE_1217	NA	10
BCE_1218	NA	7
BCE_1219	NA	12
BCE_1220	1.4	12
BCE_1221	0.8	38
BCE_1222	NA	10
BCE_1223	NA	NA
BCE_1224	NA	NA
BCE_1225	NA	19
BCE_1226	NA	6
BCE_1227	2.9	751
BCE_1228	NA	NA
BCE_1229	NA	NA
BCE_1230	NA	12
BCE_1231	NA	8
BCE_1232	1.3	938
BCE_1233	NA	NA
BCE_1234	NA	NA
BCE_1235	NA	27
BCE_1236	NA	NA
BCE_1237	NA	6
BCE_1238	NA	19
BCE_1239	4.3	41
BCE_1240	3.2	7
BCE_1241	NA	15
BCE_1242	1.6	15
BCE_1243	1.8	18
BCE_1244	3.0	45
BCE_1245	3.4	49
BCE_1246	2.4	71
BCE_1247	NA	10
BCE_1248	NA	NA
BCE_1249	NA	11
BCE_1250	NA	NA
BCE_1251	NA	NA
BCE_1252	NA	NA
BCE_1253	NA	NA
BCE_1254	NA	NA
BCE_1255	NA	NA
BCE_1256	5.7	74
BCE_1257	6.6	139
BCE_1258	NA	NA
BCE_1259	NA	NA
BCE_1260	NA	10
BCE_1261	3.3	25
BCE_1262	1.8	11
BCE_1263	NA	NA
BCE_1264	NA	NA
BCE_1265	NA	NA
BCE_1266	NA	NA
BCE_1267	NA	NA
BCE_1268	NA	10
BCE_1269	NA	NA
BCE_1270	NA	NA
BCE_1271	NA	NA
BCE_1272	NA	6
BCE_1273	6.1	366
BCE_1274	1.3	118
BCE_1275	NA	NA
BCE_1276	1.8	19
BCE_1277	NA	13
BCE_1278	1.4	NA
BCE_1279	2.4	6
BCE_1280	1.0	7
BCE_1281	NA	NA
BCE_1282	NA	NA
BCE_1283	2.8	60
BCE_1284	2.6	103
BCE_1285	2.6	65
BCE_1286	2.0	14
BCE_1287	2.3	34
BCE_1288	NA	1822
BCE_1289	NA	NA
BCE_1290	NA	NA
BCE_1291	NA	NA
BCE_1292	4.6	128
BCE_1293	2.6	926
BCE_1294	3.4	382
BCE_1295	NA	NA
BCE_1296	NA	NA
BCE_1297	4.0	121
BCE_1298	2.0	13
BCE_1299	NA	49
BCE_1300	1.8	23
BCE_1301	NA	7
BCE_1302	2.8	13
BCE_1303	3.3	26
BCE_1304	4.5	21
BCE_1305	2.0	49
BCE_1306	2.3	18
BCE_1307	3.5	8
BCE_1308	3.9	7
BCE_1309	1.8	252
BCE_1310	1.4	NA
BCE_1311	1.8	129
BCE_1312	1.2	16
BCE_1313	NA	9
BCE_1314	NA	81
BCE_1315	NA	6
BCE_1316	NA	79
BCE_1317	0.9	53
BCE_1318	2.4	136
BCE_1319	3.2	190
BCE_1320	3.3	273
BCE_1321	4.1	266
BCE_1322	3.3	318
BCE_1323	5.5	7
BCE_1324	2.6	16
BCE_1325	NA	NA
BCE_1326	NA	NA
BCE_1327	NA	NA
BCE_1328	NA	NA
BCE_1329	NA	NA
BCE_1330	NA	NA
BCE_1331	NA	NA
BCE_1332	NA	NA
BCE_1333	NA	NA
BCE_1334	NA	NA
BCE_1335	NA	NA
BCE_1336	NA	6
BCE_1337	2.9	7
BCE_1338	2.7	6
BCE_1339	NA	951
BCE_1340	NA	NA
BCE_1341	NA	NA
BCE_1342	NA	NA
BCE_1343	NA	NA
BCE_1344	NA	NA
BCE_1345	NA	NA
BCE_1346	2.4	56
BCE_1347	7.3	98
BCE_1348	4.8	259
BCE_1349	2.7	155
BCE_1350	2.0	38
BCE_1351	2.3	10
BCE_1352	NA	NA
BCE_1353	NA	36
BCE_1354	NA	261
BCE_1355	NA	134
BCE_1356	NA	NA
BCE_1357	NA	NA
BCE_1358	NA	NA
BCE_1359	NA	NA
BCE_1360	NA	NA
BCE_1361	NA	NA
BCE_1362	NA	NA
BCE_1363	1.2	8
BCE_1364	NA	NA
BCE_1365	NA	NA
BCE_1366	2.0	19
BCE_1367	NA	NA
BCE_1368	1.1	11
BCE_1369	NA	NA
BCE_1370	NA	NA
BCE_1371	NA	6
BCE_1372	10.4	16
BCE_1373	NA	6
BCE_1374	2.7	75
BCE_1375	NA	NA
BCE_1376	NA	NA
BCE_1377	NA	NA
BCE_1378	NA	NA
BCE_1379	3.3	340
BCE_1380	2.6	504
BCE_1381	4.1	32
BCE_1382	2.7	22
BCE_1383	2.0	64
BCE_1384	NA	NA
BCE_1385	NA	8
BCE_1386	3.8	19
BCE_1387	1.6	66
BCE_1388	0.7	45
BCE_1389	NA	NA
BCE_1390	NA	NA
BCE_1391	NA	NA
BCE_1392	NA	NA
BCE_1393	2.2	66
BCE_1394	NA	5
BCE_1395	NA	6
BCE_1396	6.0	8
BCE_1397	1.8	16
BCE_1398	NA	209
BCE_1399	1.4	192
BCE_1400	1.5	280
BCE_1401	1.8	261
BCE_1402	1.5	27
BCE_1403	2.2	20
BCE_1404	NA	NA
BCE_1405	1.8	19
BCE_1406	1.3	20
BCE_1407	NA	NA
BCE_1408	NA	NA
BCE_1409	2.7	6
BCE_1410	NA	6
BCE_1411	NA	7
BCE_1412	0.9	27
BCE_1413	1.4	43
BCE_1414	1.6	54
BCE_1415	4.3	301
BCE_1416	2.8	14
BCE_1417	2.9	16
BCE_1418	3.3	8
BCE_1419	NA	NA
BCE_1420	NA	7
BCE_1421	3.3	9
BCE_1422	NA	95
BCE_1423	NA	NA
BCE_1424	NA	NA
BCE_1425	NA	5
BCE_1426	2.7	20
BCE_1427	2.4	7
BCE_1428	NA	NA
BCE_1429	NA	NA
BCE_1430	NA	NA
BCE_1431	NA	24
BCE_1432	1.6	41
BCE_1433	NA	NA
BCE_1434	NA	NA
BCE_1435	NA	NA
BCE_1436	NA	NA
BCE_1437	NA	NA
BCE_1438	NA	NA
BCE_1439	NA	NA
BCE_1440	NA	NA
BCE_1441	2.5	6
BCE_1442	NA	NA
BCE_1443	NA	NA
BCE_1444	1.4	260
BCE_1445	1.1	6
BCE_1446	1.2	9
BCE_1447	NA	NA
BCE_1448	NA	13
BCE_1449	1.3	33
BCE_1450	4.2	37
BCE_1451	NA	26
BCE_1452	4.5	40
BCE_1453	NA	6
BCE_1454	NA	NA
BCE_1455	NA	NA
BCE_1456	2.0	40
BCE_1457	NA	196
BCE_1458	1.5	273
BCE_1459	1.6	209
BCE_1460	1.7	232
BCE_1461	1.7	223
BCE_1462	NA	66
BCE_1463	NA	NA
BCE_1464	NA	11
BCE_1465	3.1	94
BCE_1466	1.7	131
BCE_1467	NA	74
BCE_1468	NA	49
BCE_1469	2.1	359
BCE_1470	2.0	216
BCE_1471	5.0	358
BCE_1472	1.7	35
BCE_1473	1.5	22
BCE_1474	1.3	10
BCE_1475	2.7	38
BCE_1476	NA	13
BCE_1477	2.8	17
BCE_1478	3.0	67
BCE_1479	3.7	19
BCE_1480	NA	NA
BCE_1481	1.6	52
BCE_1482	NA	5
BCE_1483	2.3	11
BCE_1484	3.5	266
BCE_1485	3.4	509
BCE_1486	1.5	313
BCE_1487	1.7	343
BCE_1488	1.5	460
BCE_1489	1.6	14
BCE_1490	NA	NA
BCE_1491	1.3	633
BCE_1492	1.4	678
BCE_1493	1.8	761
BCE_1494	1.5	1910
BCE_1495	NA	6
BCE_1496	NA	NA
BCE_1497	NA	NA
BCE_1498	NA	NA
BCE_1499	NA	NA
BCE_1500	NA	NA
BCE_1501	2.0	16
BCE_1502	1.9	115
BCE_1503	NA	15
BCE_1504	5.6	116
BCE_1505	NA	NA
BCE_1506	1.4	72
BCE_1507	NA	12
BCE_1508	2.6	6
BCE_1509	NA	25
BCE_1510	NA	NA
BCE_1511	NA	NA
BCE_1512	NA	140
BCE_1513	NA	NA
BCE_1514	NA	NA
BCE_1515	NA	NA
BCE_1516	NA	NA
BCE_1517	NA	NA
BCE_1518	NA	NA
BCE_1519	NA	NA
BCE_1520	NA	NA
BCE_1521	NA	NA
BCE_1522	NA	NA
BCE_1523	NA	NA
BCE_1524	NA	NA
BCE_1525	NA	NA
BCE_1526	NA	NA
BCE_1527	NA	NA
BCE_1528	NA	NA
BCE_1529	NA	NA
BCE_1530	NA	NA
BCE_1531	NA	NA
BCE_1532	NA	NA
BCE_1533	NA	NA
BCE_1534	NA	NA
BCE_1535	3.6	60
BCE_1536	1.5	144
BCE_1537	NA	11
BCE_1538	NA	43
BCE_1539	NA	NA
BCE_1540	NA	NA
BCE_1541	NA	NA
BCE_1542	1.8	8
BCE_1543	2.9	12
BCE_1544	NA	NA
BCE_1545	NA	NA
BCE_1546	NA	NA
BCE_1547	NA	NA
BCE_1548	NA	NA
BCE_1549	NA	NA
BCE_1550	NA	NA
BCE_1551	NA	NA
BCE_1552	2.3	43
BCE_1553	NA	NA
BCE_1554	1.5	141
BCE_1555	2.1	434
BCE_1556	NA	14
BCE_1557	1.8	25
BCE_1558	NA	NA
BCE_1559	NA	5
BCE_1560	4.6	10
BCE_1561	NA	29
BCE_1562	1.4	40
BCE_1563	1.7	47
BCE_1564	3.0	37
BCE_1565	2.8	37
BCE_1566	9.2	14
BCE_1567	5.3	11
BCE_1568	NA	NA
BCE_1569	NA	NA
BCE_1570	2.7	9
BCE_1571	5.9	46
BCE_1572	NA	8
BCE_1573	NA	152
BCE_1574	NA	NA
BCE_1575	1.9	53
BCE_1576	3.9	271
BCE_1577	3.0	261
BCE_1578	NA	18
BCE_1579	NA	NA
BCE_1580	NA	NA
BCE_1581	NA	NA
BCE_1582	NA	NA
BCE_1583	0.8	10
BCE_1584	2.7	11
BCE_1585	2.7	30
BCE_1586	NA	360
BCE_1587	2.4	12
BCE_1588	6.9	489
BCE_1589	NA	6
BCE_1590	1.7	55
BCE_1591	NA	NA
BCE_1592	NA	NA
BCE_1593	NA	NA
BCE_1594	NA	NA
BCE_1595	NA	NA
BCE_1596	NA	NA
BCE_1597	2.4	251
BCE_1598	1.7	49
BCE_1599	1.8	31
BCE_1600	2.4	55
BCE_1601	3.3	203
BCE_1602	3.8	181
BCE_1603	3.2	31
BCE_1604	NA	NA
BCE_1605	1.5	112
BCE_1606	NA	46
BCE_1607	NA	855
BCE_1608	NA	14
BCE_1609	1.1	14
BCE_1610	0.9	18
BCE_1611	0.8	23
BCE_1612	1.0	21
BCE_1613	1.6	25
BCE_1614	1.6	42
BCE_1615	1.7	69
BCE_1616	2.1	175
BCE_1617	4.6	967
BCE_1618	NA	NA
BCE_1619	NA	39
BCE_1620	NA	8
BCE_1621	4.2	66
BCE_1622	5.6	236
BCE_1623	1.6	152
BCE_1624	NA	81
BCE_1625	4.8	108
BCE_1626	3.4	109
BCE_1627	NA	NA
BCE_1628	NA	NA
BCE_1629	NA	NA
BCE_1630	NA	NA
BCE_1631	1.8	331
BCE_1632	2.6	263
BCE_1633	NA	NA
BCE_1634	NA	NA
BCE_1635	NA	NA
BCE_1636	NA	NA
BCE_1637	NA	2668
BCE_1638	9.3	342
BCE_1639	1.5	146
BCE_1640	1.4	146
BCE_1641	1.6	101
BCE_1642	4.6	760
BCE_1643	2.9	106
BCE_1644	2.6	65
BCE_1645	3.1	72
BCE_1646	2.6	110
BCE_1647	2.6	130
BCE_1648	NA	6
BCE_1649	5.0	28
BCE_1650	5.6	21
BCE_1651	3.8	33
BCE_1652	NA	NA
BCE_1653	0.9	25
BCE_1654	0.8	20
BCE_1655	NA	NA
BCE_1656	1.8	169
BCE_1657	NA	NA
BCE_1658	NA	NA
BCE_1659	NA	NA
BCE_1660	2.6	221
BCE_1661	4.0	239
BCE_1662	5.1	288
BCE_1663	4.0	138
BCE_1664	4.4	125
BCE_1665	4.2	104
BCE_1666	5.8	113
BCE_1667	NA	NA
BCE_1668	1.5	53
BCE_1669	1.3	38
BCE_1670	NA	34
BCE_1671	1.4	36
BCE_1672	2.5	477
BCE_1673	3.6	447
BCE_1674	5.1	441
BCE_1675	2.5	54
BCE_1676	2.3	66
BCE_1677	1.8	84
BCE_1678	1.4	194
BCE_1679	NA	62
BCE_1680	NA	NA
BCE_1681	NA	10
BCE_1682	2.7	14
BCE_1683	NA	17
BCE_1684	NA	6
BCE_1685	NA	182
BCE_1686	NA	NA
BCE_1687	NA	NA
BCE_1688	2.0	30
BCE_1689	2.6	263
BCE_1690	2.4	254
BCE_1691	2.3	246
BCE_1692	2.6	106
BCE_1693	4.4	43
BCE_1694	3.8	7
BCE_1695	2.5	30
BCE_1696	NA	8
BCE_1697	NA	NA
BCE_1698	NA	8
BCE_1699	2.2	25
BCE_1700	NA	304
BCE_1701	1.9	54
BCE_1702	2.1	122
BCE_1703	3.9	101
BCE_1704	NA	183
BCE_1705	5.6	187
BCE_1706	NA	27
BCE_1707	0.7	54
BCE_1708	NA	NA
BCE_1709	NA	NA
BCE_1710	NA	NA
BCE_1711	NA	NA
BCE_1712	NA	60
BCE_1713	NA	9
BCE_1714	2.8	17
BCE_1715	6.0	100
BCE_1716	NA	17
BCE_1717	NA	12
BCE_1718	3.3	21
BCE_1719	NA	28
BCE_1720	NA	512
BCE_1721	NA	NA
BCE_1722	NA	NA
BCE_1723	NA	19
BCE_1724	NA	NA
BCE_1725	NA	NA
BCE_1726	NA	NA
BCE_1727	NA	NA
BCE_1728	1.2	20
BCE_1729	1.4	74
BCE_1730	NA	NA
BCE_1731	NA	NA
BCE_1732	NA	24
BCE_1733	NA	NA
BCE_1734	1.1	13
BCE_1735	NA	NA
BCE_1736	NA	23
BCE_1737	0.9	10
BCE_1738	NA	7
BCE_1739	NA	NA
BCE_1740	NA	NA
BCE_1741	NA	NA
BCE_1742	NA	NA
BCE_1743	NA	23
BCE_1744	1.8	113
BCE_1745	3.4	78
BCE_1746	1.3	57
BCE_1747	0.9	72
BCE_1748	2.4	554
BCE_1749	2.3	381
BCE_1750	2.1	182
BCE_1751	1.9	344
BCE_1752	1.9	122
BCE_1753	2.3	99
BCE_1754	1.6	58
BCE_1755	1.4	78
BCE_1756	1.9	123
BCE_1757	1.7	186
BCE_1758	1.6	252
BCE_1759	2.2	365
BCE_1760	2.7	266
BCE_1761	3.4	229
BCE_1762	3.4	238
BCE_1763	1.6	317
BCE_1764	1.5	575
BCE_1765	1.7	408
BCE_1766	1.9	270
BCE_1767	2.0	167
BCE_1768	2.7	155
BCE_1769	3.3	95
BCE_1770	2.7	245
BCE_1771	2.8	314
BCE_1772	2.8	477
BCE_1773	2.7	467
BCE_1774	4.1	322
BCE_1775	4.9	473
BCE_1776	5.6	236
BCE_1777	8.8	257
BCE_1778	1.9	19
BCE_1779	6.6	27
BCE_1780	8.7	2605
BCE_1781	1.9	103
BCE_1782	1.3	211
BCE_1783	1.4	141
BCE_1784	1.5	226
BCE_1785	2.0	195
BCE_1786	1.6	140
BCE_1787	2.1	179
BCE_1788	1.5	163
BCE_1789	1.9	106
BCE_1790	1.7	170
BCE_1791	2.4	181
BCE_1792	2.9	159
BCE_1793	NA	NA
BCE_1794	NA	8
BCE_1795	4.0	13
BCE_1796	NA	16
BCE_1797	NA	22
BCE_1798	NA	NA
BCE_1799	NA	NA
BCE_1800	NA	NA
BCE_1801	NA	NA
BCE_1802	NA	NA
BCE_1803	3.5	17
BCE_1804	NA	NA
BCE_1805	NA	6
BCE_1806	1.4	10
BCE_1807	NA	NA
BCE_1808	NA	NA
BCE_1809	1.3	34
BCE_1810	NA	NA
BCE_1811	NA	NA
BCE_1812	NA	NA
BCE_1813	NA	NA
BCE_1814	NA	NA
BCE_1815	NA	NA
BCE_1816	2.4	44
BCE_1817	5.2	11
BCE_1818	NA	18
BCE_1819	NA	NA
BCE_1820	NA	NA
BCE_1821	NA	6
BCE_1822	NA	NA
BCE_1823	NA	9
BCE_1824	NA	NA
BCE_1825	NA	NA
BCE_1826	NA	NA
BCE_1827	NA	12
BCE_1828	NA	NA
BCE_1829	NA	NA
BCE_1830	NA	NA
BCE_1831	NA	NA
BCE_1832	NA	NA
BCE_1833	NA	88
BCE_1834	NA	8
BCE_1835	NA	NA
BCE_1836	NA	NA
BCE_1837	NA	NA
BCE_1838	NA	NA
BCE_1839	NA	NA
BCE_1840	2.8	225
BCE_1841	6.6	370
BCE_1842	1.9	92
BCE_1843	NA	NA
BCE_1844	NA	NA
BCE_1845	2.0	23
BCE_1846	3.0	73
BCE_1847	NA	NA
BCE_1848	NA	8
BCE_1849	0.9	32
BCE_1850	1.0	17
BCE_1851	1.2	20
BCE_1852	2.0	12
BCE_1853	1.6	18
BCE_1854	0.8	22
BCE_1855	2.7	15
BCE_1856	1.6	14
BCE_1857	NA	12
BCE_1858	3.9	14
BCE_1859	NA	25
BCE_1860	NA	20
BCE_1861	NA	12
BCE_1862	NA	6
BCE_1863	NA	NA
BCE_1864	NA	7
BCE_1865	NA	NA
BCE_1866	NA	NA
BCE_1867	NA	NA
BCE_1868	NA	NA
BCE_1869	NA	NA
BCE_1870	NA	NA
BCE_1871	2.0	215
BCE_1872	2.9	312
BCE_1873	2.6	208
BCE_1874	1.7	15
BCE_1875	2.8	22
BCE_1876	NA	NA
BCE_1877	1.7	18
BCE_1878	0.9	53
BCE_1879	NA	NA
BCE_1880	3.0	34
BCE_1881	NA	NA
BCE_1882	NA	25
BCE_1883	3.6	7
BCE_1884	NA	7
BCE_1885	NA	NA
BCE_1886	NA	NA
BCE_1887	NA	NA
BCE_1888	NA	6
BCE_1889	2.0	25
BCE_1890	2.9	314
BCE_1891	NA	NA
BCE_1892	NA	NA
BCE_1893	NA	NA
BCE_1894	NA	NA
BCE_1895	NA	NA
BCE_1896	NA	30
BCE_1897	NA	NA
BCE_1898	NA	NA
BCE_1899	NA	NA
BCE_1900	NA	NA
BCE_1901	NA	NA
BCE_1902	NA	NA
BCE_1903	2.5	22
BCE_1904	NA	NA
BCE_1905	NA	NA
BCE_1906	NA	NA
BCE_1907	4.2	8
BCE_1908	NA	NA
BCE_1909	4.9	12
BCE_1910	1.7	7
BCE_1911	NA	NA
BCE_1912	NA	NA
BCE_1913	2.3	12
BCE_1914	NA	NA
BCE_1915	NA	NA
BCE_1916	2.5	14
BCE_1917	NA	14
BCE_1918	NA	6
BCE_1919	5.0	16
BCE_1920	NA	11
BCE_1921	6.1	8
BCE_1922	1.7	10
BCE_1923	2.9	15
BCE_1924	NA	17
BCE_1925	NA	97
BCE_1926	NA	NA
BCE_1927	1.5	13
BCE_1928	3.9	14
BCE_1929	NA	NA
BCE_1930	NA	NA
BCE_1931	3.0	43
BCE_1932	NA	NA
BCE_1933	NA	NA
BCE_1934	NA	NA
BCE_1935	NA	NA
BCE_1936	NA	NA
BCE_1937	NA	NA
BCE_1938	NA	NA
BCE_1939	NA	NA
BCE_1940	NA	NA
BCE_1941	NA	NA
BCE_1942	NA	NA
BCE_1943	NA	7
BCE_1944	NA	NA
BCE_1945	3.0	28
BCE_1946	4.2	15
BCE_1947	2.3	13
BCE_1948	2.3	21
BCE_1949	NA	NA
BCE_1950	NA	NA
BCE_1951	2.9	216
BCE_1952	NA	NA
BCE_1953	NA	NA
BCE_1954	1.3	28
BCE_1955	2.4	10
BCE_1956	NA	NA
BCE_1957	1.2	6
BCE_1958	3.6	13
BCE_1959	1.9	15
BCE_1960	1.4	18
BCE_1961	1.1	268
BCE_1962	NA	NA
BCE_1963	NA	NA
BCE_1964	5.3	11
BCE_1965	NA	NA
BCE_1966	1.7	20
BCE_1967	2.3	492
BCE_1968	2.9	869
BCE_1969	3.1	573
BCE_1970	3.4	424
BCE_1971	3.2	91
BCE_1972	NA	26
BCE_1973	NA	11
BCE_1974	2.7	22
BCE_1975	3.6	59
BCE_1976	1.6	37
BCE_1977	2.6	89
BCE_1978	2.5	126
BCE_1979	NA	NA
BCE_1980	NA	NA
BCE_1981	2.4	15
BCE_1982	NA	10
BCE_1983	NA	NA
BCE_1984	1.5	27
BCE_1985	NA	NA
BCE_1986	NA	8
BCE_1987	3.3	19
BCE_1988	2.9	19
BCE_1989	NA	11
BCE_1990	3.9	19
BCE_1991	NA	NA
BCE_1992	NA	NA
BCE_1993	NA	6
BCE_1994	1.6	9
BCE_1995	1.7	55
BCE_1996	NA	NA
BCE_1997	NA	10
BCE_1998	NA	12
BCE_1999	3.5	25
BCE_2000	1.3	6
BCE_2001	NA	NA
BCE_2002	NA	NA
BCE_2003	NA	NA
BCE_2004	NA	NA
BCE_2005	NA	NA
BCE_2006	NA	NA
BCE_2007	5.0	49
BCE_2008	NA	NA
BCE_2009	1.0	24
BCE_2010	NA	NA
BCE_2011	NA	NA
BCE_2012	NA	NA
BCE_2013	NA	NA
BCE_2014	NA	NA
BCE_2015	NA	NA
BCE_2016	NA	NA
BCE_2017	NA	NA
BCE_2018	NA	NA
BCE_2019	1.5	38
BCE_2020	NA	NA
BCE_2021	2.2	10
